Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
6/23/21 16:45,6/24/21 8:00,Brooklyn,Sternberg Park,Inside locked athletic field under construction,Chukar,Other,Exotic,Healthy,6,Adult,Birds,311-06712416,ACC,6,FALSE,FALSE,,,FALSE,FALSE,163537
6/24/21 10:00,6/24/21 11:00,Bronx,Haffen Park,Haffen Pool,Sparrow,Central,Native,Healthy,1.75,Infant,Birds,311-06714879,Rehabilitator,4,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 14:30,6/23/21 14:30,Bronx,Pelham Bay Park,Pelham Bay South,White-tailed Deer,Employee,Native,N/A,1,Juvenile,Deer,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 13:00,6/23/21 13:10,Staten Island,Willowbrook Park,The carousel,Raccoon,Employee,Native,N/A,2,Adult;#Juvenile,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 9:20,6/23/21 9:20,Queens,Judge Moses Weinstein Playground,Garbage can,Virginia Opossum,Central,Native,Healthy,2.25,Juvenile,Small Mammals-non RVS,311-06699415,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119833
6/23/21 9:00,6/23/21 9:10,Staten Island,Clove Lakes Park,Martling Pond on shore,Domestic Duck,Employee,Domestic,Healthy,1.25,Adult,Domestic;#Birds,311-06700321,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119822
6/23/21 5:30,6/23/21 8:20,Staten Island,Willowbrook Park,Pond,Canada Goose,Employee,Native,Injured,0.5,Juvenile,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 15:00,6/22/21 15:00,Queens,Travers Park,78th Street Plaza,Cat,Public,Domestic,Unhealthy,1,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 15:30,6/22/21 15:30,Brooklyn,Prospect Park,V/O Drummers Circle,Dog,Employee,Domestic,Injured,0.5,Juvenile,Domestic,,ACC,1,TRUE,FALSE,,,FALSE,FALSE,
6/22/21 11:30,6/22/21 11:30,Manhattan,Highbridge Park,Coogan's Bluff Playground,Dog,Central,Domestic,N/A,0.75,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 11:55,6/22/21 11:55,Queens,Forest Park,Giovanelli Playground,Eastern Rat Snake,Central,Native,Healthy,2,Juvenile,Terrestrial Reptile or Amphibian,311-06691186,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
