"original_park","matched_park","similarity"
"""uncle"" vito e. maranzano glendale playground","""uncle"" vito f. maranzano glendale playground",0.909427609427609
"2099-2033 colonial ave",NA,NA
"2930 w fifth st, coney island",NA,NA
"30-30 thomson avenue",NA,NA
"35th street",NA,NA
"406 woodward avenue",NA,NA
"5 east 102nd st",NA,NA
"593 132nd st",NA,NA
"851 fairmont pl",NA,NA
"abc playground","abc playground",1
"abingdon square","abingdon square",1
"aesop park","aesop park",1
"agnes haywood playground","agnes haywood playground",1
"al oerter recreation center","kwame ture recreation center",0.852843915343915
"albemarle playground","albemarle playground",1
"albert j. parham playground","albert l. parham playground",0.904795821462488
"alice austen house park","alice austen park",0.913043478260869
"alice austen park","alice austen park",1
"allerton playground","allerton playground",1
"alley athletic playground","alley athletic playground",1
"alley pond park","alley pond park",1
"alley pond park oakland lake","alley pond park",0.845238095238095
"alley pond park tennis courts near court 16","alley pond park",0.782945736434108
"allison pond park","allison pond park",1
"altamont house","walton slope",0.76058201058201
"american veterans memorial pier","american veterans memorial pier",1
"ampere playground","ampere playground",1
"amundsen circle","amundsen circle",1
"andrews grove","andrews grove",1
"andries playground","andries playground",1
"annadale green","annadale green",1
"annunciation park","annunciation playground",0.878942881500426
"aqueduct walk","aqueduct walk",1
"archie signer park","archie spigner park",0.917641325536062
"archie spigner park","archie spigner park",1
"arcilla playground","arcilla playground",1
"arden woods","arden woods",1
"arrochar playground","arrochar playground",1
"arsenal north",NA,NA
"asphalt green","asphalt green",1
"asser levy park","asser levy park",1
"astoria park","astoria park",1
"b116 street boardwalk","box street park",0.79047619047619
"bailey playground","bailey playground",1
"baisley pond park","baisley pond park",1
"barretto point park","barretto point park",1
"barrier playground","barrier playground",1
"bartel-pritchard square","bartel-pritchard square",1
"bartlett playground","bartlett playground",1
"bartow pell mansion",NA,NA
"bathgate playground","bathgate playground",1
"battery park","battery park city",0.901960784313726
"battery park city","battery park city",1
"bayswater park","bayswater park",1
"bayview playground","bayview playground",1
"bayview terrace park","bayview terrace park",1
"beach 30th street playground","beach 30th street playground",1
"beach 59th st playground","beach 59th st playground",1
"beach channel playground","beach channel playground",1
"beanstalk playground","beanstalk playground",1
"bedford green","bedford green",1
"bedford playground","bedford playground",1
"behagen playground","behagen playground",1
"bella abzug park","bella abzug park",1
"bellaire playground","bellaire playground",1
"bellevue south park","bellevue south park",1
"belmont playground","belmont playground",1
"belt parkway/shore parkway","belt parkway/shore parkway",1
"benson playground","benson playground",1
"bensonhurst park","bensonhurst park",1
"bergen beach","bergen beach playground",0.840579710144927
"bergen beach playground","bergen beach playground",1
"betsy head park","betsy head park",1
"betsy head pool","betsy head park",0.866666666666667
"bill brown playground","bill brown playground",1
"bill rainey park","bill rainey park",1
"blake hobbs playground","blake hobbs playground",1
"blood root valley","blood root valley",1
"bloomingdale park","bloomingdale park",1
"blue heron park","blue heron park",1
"bowling green","bowling green",1
"bowne park","bowne park",1
"bradys pond park","bradys pond park",1
"breininger park","brower park",0.806060606060606
"breukelen ballfields","breukelen ballfields",1
"bridge and tunnel park",NA,NA
"bridge park 3","bridge park 3",1
"brighton beach",NA,NA
"brighton playground","brighton playground",1
"broad channel american park","broad channel american park",1
"broad channel wetlands","broad channel wetlands",1
"bronx park","bronx park",1
"brookfield park","brookfield park",1
"brooklyn bridge park","brooklyn bridge park",1
"brooklyn heights promenade","brooklyn heights promenade",1
"brookville park","brookville park",1
"brower park","brower park",1
"brownsville playground","brownsville playground",1
"brust park","brust park",1
"bryant park","bryant park",1
"bunker ponds park","bunker ponds park",1
"bush terminal park","thursby basin park",0.777777777777778
"bushwick inlet","bushwick inlet park",0.912280701754386
"bushwick inlet park","bushwick inlet park",1
"bushwick playground","bushwick playground",1
"c.s. 134",NA,NA
"cadman plaza park","cadman plaza park",1
"calvary monument","calvary monument",1
"calvert vaux park","calvert vaux park",1
"cambria playground","cambria playground",1
"canal park","canal park",1
"canarsie park","canarsie park",1
"captain tilly park","captain tilly park",1
"carl schurz park","carl schurz park",1
"catharine turner richardson park","catharine turner richardson park",1
"cedar grove beach","cedar grove playground",0.785204991087344
"cedar grove park","cedar grove playground",0.87310606060606
"cedar playground","cedar playground",1
"cenral park","central park",0.972222222222222
"centrail park","central park",0.974358974358974
"central  park","central park",0.974358974358974
"central park","central park",1
"centreville playground","centreville playground",1
"challenge playground","challenge playground",1
"chapin woods","arden woods",0.797979797979798
"charlie's place","charlie's place",1
"charlton garden","oriental garden",0.85982905982906
"chelsea park","chelsea park",1
"chelsea recreation center","chelsea recreation center",1
"chiarantano playground","chiarantano playground",1
"churchill school",NA,NA
"city line park","city line park",1
"claremont park","claremont park",1
"claremont playground","coleman playground",0.938888888888889
"clark playground","clark playground",1
"clason point park","clason point park",1
"classon playground","classon playground",1
"clearview park golf course","clearview park golf course",1
"clove lakes park","clove lakes park",1
"cloves lakes park","clove lakes park",0.917892156862745
"coffey park","coffey park",1
"colden playground","colden playground",1
"colgate close","colgate close",1
"colgate close parks","colgate close",0.894736842105263
"collect pond park","collect pond park",1
"college point fields","college point fields",1
"college point park","college point park",1
"colonel charles young playground","courtney callender playground",0.768917624521073
"colucci playground","colucci playground",1
"columbus circle","columbus square",0.822222222222222
"columbus park","columbus park",1
"commodore barry park","commodore barry park",1
"concrete plant park","concrete plant park",1
"coney island beach &amp; boardwalk","coney island beach & boardwalk",0.916339869281046
"coney island beach and boardwalk","coney island beach & boardwalk",0.911661877394636
"coney island creek park","coney island creek park",1
"conference house park","conference house park",1
"cooper park","cooper park",1
"cooper triangle","cooper triangle",1
"corlears hook park","corlears hook park",1
"court square park","court square park",1
"cpl. thompson park","cpl. thompson park",1
"crack is wack playground","crack is wack playground",1
"crescent beach park","crescent beach park",1
"crocheron park","crocheron park",1
"cross street marsh ave & westport street",NA,NA
"crotona park","crotona park",1
"crotona parkway malls","crotona parkway malls",1
"cunningham park","cunningham park",1
"daniel boone playground","daniel boone playground",1
"dawson playground","dawson playground",1
"de matti park","de matti park",1
"de witt clinton park","de witt clinton park",1
"decatur playground","decatur playground",1
"deere park","deere park",1
"detective keith l williams park","detective keith l williams park",1
"devoe park","devoe park",1
"dongan playground","dongan playground",1
"doughboy plaza","doughboy park",0.877289377289377
"dr. ronald mcnair park","dr. ronald mcnair park",1
"dubos point wildlife sanctuary","dubos point wildlife sanctuary",1
"dugan playground","grand playground",0.913888888888889
"dunningham triangle","dunningham triangle",1
"dyker beach park","dyker beach park",1
"east 71st street between avenue v and avenue w",NA,NA
"east river esplanade","east river esplanade",1
"east river park","east river walk",0.911111111111111
"edenwald playground","edenwald playground",1
"ehrenreich-austin playground","ehrenreich-austin playground",1
"eibs pond park","eibs pond park",1
"elmhurst park","elmhurst park",1
"emerald playground","emerald playground",1
"emt yadira arroyo playground","fdny-emt yadira arroyo playground",0.82449494949495
"evelina antonetty playground","evelina antonetty playground",1
