original_park,matched_park,similarity,final_match
"""uncle"" vito e. maranzano glendale playground","""uncle"" vito f. maranzano glendale playground",0.909427609,"""uncle"" vito f. maranzano glendale playground"
2099-2033 colonial ave,NA,NA,pelham bay park
"2930 w fifth st, coney island",NA,NA,na
30-30 thomson avenue,NA,NA,na
35th street,NA,NA,na
406 woodward avenue,NA,NA,grover cleveland playground
5 east 102nd st,NA,NA,central park
593 132nd st,NA,NA,playground one thirty four cxxxiv
851 fairmont pl,NA,NA,na
abc playground,abc playground,1,abc playground
abingdon square,abingdon square,1,abingdon square
aesop park,aesop park,1,aesop park
agnes haywood playground,agnes haywood playground,1,agnes haywood playground
al oerter recreation center,kwame ture recreation center,0.852843915,flushing meadows corona park
albemarle playground,albemarle playground,1,albemarle playground
albert j. parham playground,albert l. parham playground,0.904795821,albert l. parham playground
alice austen house park,alice austen park,0.913043478,alice austen park
alice austen park,alice austen park,1,alice austen park
allerton playground,allerton playground,1,allerton playground
alley athletic playground,alley athletic playground,1,alley athletic playground
alley pond park,alley pond park,1,alley pond park
alley pond park oakland lake,alley pond park,0.845238095,alley pond park
alley pond park tennis courts near court 16,alley pond park,0.782945736,alley pond park
allison pond park,allison pond park,1,allison pond park
altamont house,walton slope,0.760582011,high rock park
american veterans memorial pier,american veterans memorial pier,1,american veterans memorial pier
ampere playground,ampere playground,1,ampere playground
amundsen circle,amundsen circle,1,amundsen circle
andrews grove,andrews grove,1,andrews grove
andries playground,andries playground,1,andries playground
annadale green,annadale green,1,annadale green
annunciation park,annunciation playground,0.878942882,annunciation playground
aqueduct walk,aqueduct walk,1,aqueduct walk
archie signer park,archie spigner park,0.917641326,archie spigner park
archie spigner park,archie spigner park,1,archie spigner park
arcilla playground,arcilla playground,1,arcilla playground
arden woods,arden woods,1,arden woods
arrochar playground,arrochar playground,1,arrochar playground
arsenal north,NA,NA,central park
asphalt green,asphalt green,1,asphalt green
asser levy park,asser levy park,1,asser levy park
astoria park,astoria park,1,astoria park
b116 street boardwalk,box street park,0.79047619,rockaway beach and boardwalk
bailey playground,bailey playground,1,bailey playground
baisley pond park,baisley pond park,1,baisley pond park
barretto point park,barretto point park,1,barretto point park
barrier playground,barrier playground,1,barrier playground
bartel-pritchard square,bartel-pritchard square,1,bartel-pritchard square
bartlett playground,bartlett playground,1,bartlett playground
bartow pell mansion,NA,NA,pelham bay park
bathgate playground,bathgate playground,1,bathgate playground
battery park,battery park city,0.901960784,the battery
battery park city,battery park city,1,battery park city
bayswater park,bayswater park,1,bayswater park
bayview playground,bayview playground,1,bayview playground
bayview terrace park,bayview terrace park,1,bayview terrace park
beach 30th street playground,beach 30th street playground,1,beach 30th street playground
beach 59th st playground,beach 59th st playground,1,beach 59th st playground
beach channel playground,beach channel playground,1,beach channel playground
beanstalk playground,beanstalk playground,1,beanstalk playground
bedford green,bedford green,1,bedford green
bedford playground,bedford playground,1,bedford playground
behagen playground,behagen playground,1,behagen playground
bella abzug park,bella abzug park,1,bella abzug park
bellaire playground,bellaire playground,1,bellaire playground
bellevue south park,bellevue south park,1,bellevue south park
belmont playground,belmont playground,1,belmont playground
belt parkway/shore parkway,belt parkway/shore parkway,1,belt parkway/shore parkway
benson playground,benson playground,1,benson playground
bensonhurst park,bensonhurst park,1,bensonhurst park
bergen beach,bergen beach playground,0.84057971,bergen beach playground
bergen beach playground,bergen beach playground,1,bergen beach playground
betsy head park,betsy head park,1,betsy head park
betsy head pool,betsy head park,0.866666667,betsy head park
bill brown playground,bill brown playground,1,bill brown playground
bill rainey park,bill rainey park,1,bill rainey park
blake hobbs playground,blake hobbs playground,1,blake hobbs playground
blood root valley,blood root valley,1,blood root valley
bloomingdale park,bloomingdale park,1,bloomingdale park
blue heron park,blue heron park,1,blue heron park
bowling green,bowling green,1,bowling green
bowne park,bowne park,1,bowne park
bradys pond park,bradys pond park,1,bradys pond park
breininger park,brower park,0.806060606,jack breininger park
breukelen ballfields,breukelen ballfields,1,breukelen ballfields
bridge and tunnel park,NA,NA,notorious lic park
bridge park 3,bridge park 3,1,bridge park 3
brighton beach,NA,NA,coney island beach & boardwalk
brighton playground,brighton playground,1,brighton playground
broad channel american park,broad channel american park,1,broad channel american park
broad channel wetlands,broad channel wetlands,1,broad channel wetlands
bronx park,bronx park,1,bronx park
brookfield park,brookfield park,1,brookfield park
brooklyn bridge park,brooklyn bridge park,1,brooklyn bridge park
brooklyn heights promenade,brooklyn heights promenade,1,brooklyn heights promenade
brookville park,brookville park,1,brookville park
brower park,brower park,1,brower park
brownsville playground,brownsville playground,1,brownsville playground
brust park,brust park,1,brust park
bryant park,bryant park,1,bryant park
bunker ponds park,bunker ponds park,1,bunker ponds park
bush terminal park,thursby basin park,0.777777778,na
bushwick inlet,bushwick inlet park,0.912280702,bushwick inlet park
bushwick inlet park,bushwick inlet park,1,bushwick inlet park
bushwick playground,bushwick playground,1,bushwick playground
c.s. 134,NA,NA,cs 134 community improvement garden
cadman plaza park,cadman plaza park,1,cadman plaza park
calvary monument,calvary monument,1,calvary monument
calvert vaux park,calvert vaux park,1,calvert vaux park
cambria playground,cambria playground,1,cambria playground
canal park,canal park,1,canal park
canarsie park,canarsie park,1,canarsie park
captain tilly park,captain tilly park,1,captain tilly park
carl schurz park,carl schurz park,1,carl schurz park
catharine turner richardson park,catharine turner richardson park,1,catharine turner richardson park
cedar grove beach,cedar grove playground,0.785204991,cedar grove playground
cedar grove park,cedar grove playground,0.873106061,cedar grove playground
cedar playground,cedar playground,1,cedar playground
cenral park,central park,0.972222222,central park
centrail park,central park,0.974358974,central park
central  park,central park,0.974358974,central park
central park,central park,1,central park
centreville playground,centreville playground,1,centreville playground
challenge playground,challenge playground,1,challenge playground
chapin woods,arden woods,0.797979798,harry chapin playground
charlie's place,charlie's place,1,charlie's place
charlton garden,oriental garden,0.85982906,charlton-thompson garden
chelsea park,chelsea park,1,chelsea park
chelsea recreation center,chelsea recreation center,1,chelsea recreation center
chiarantano playground,chiarantano playground,1,chiarantano playground
churchill school,NA,NA,na
city line park,city line park,1,city line park
claremont park,claremont park,1,claremont park
claremont playground,coleman playground,0.938888889,little claremont playground
clark playground,clark playground,1,clark playground
clason point park,clason point park,1,clason point park
classon playground,classon playground,1,classon playground
clearview park golf course,clearview park golf course,1,clearview park golf course
clove lakes park,clove lakes park,1,clove lakes park
cloves lakes park,clove lakes park,0.917892157,clove lakes park
coffey park,coffey park,1,coffey park
colden playground,colden playground,1,colden playground
colgate close,colgate close,1,colgate close
colgate close parks,colgate close,0.894736842,colgate close
collect pond park,collect pond park,1,collect pond park
college point fields,college point fields,1,college point fields
college point park,college point park,1,college point park
colonel charles young playground,courtney callender playground,0.768917625,brigadier general charles young playground
colucci playground,colucci playground,1,colucci playground
columbus circle,columbus square,0.822222222,central park
columbus park,columbus park,1,columbus park
commodore barry park,commodore barry park,1,commodore barry park
concrete plant park,concrete plant park,1,concrete plant park
coney island beach &amp; boardwalk,coney island beach & boardwalk,0.916339869,coney island beach & boardwalk
coney island beach and boardwalk,coney island beach & boardwalk,0.911661877,coney island beach & boardwalk
coney island creek park,coney island creek park,1,coney island creek park
conference house park,conference house park,1,conference house park
cooper park,cooper park,1,cooper park
cooper triangle,cooper triangle,1,cooper triangle
corlears hook park,corlears hook park,1,corlears hook park
court square park,court square park,1,court square park
cpl. thompson park,cpl. thompson park,1,cpl. thompson park
crack is wack playground,crack is wack playground,1,crack is wack playground
crescent beach park,crescent beach park,1,crescent beach park
crocheron park,crocheron park,1,crocheron park
cross street marsh ave & westport street,NA,NA,na
crotona park,crotona park,1,crotona park
crotona parkway malls,crotona parkway malls,1,crotona parkway malls
cunningham park,cunningham park,1,cunningham park
daniel boone playground,daniel boone playground,1,daniel boone playground
dawson playground,dawson playground,1,dawson playground
de matti park,de matti park,1,de matti park
de witt clinton park,de witt clinton park,1,de witt clinton park
decatur playground,decatur playground,1,decatur playground
deere park,deere park,1,deere park
detective keith l williams park,detective keith l williams park,1,detective keith l williams park
devoe park,devoe park,1,devoe park
dongan playground,dongan playground,1,dongan playground
doughboy plaza,doughboy park,0.877289377,doughboy park
dr. ronald mcnair park,dr. ronald mcnair park,1,dr. ronald mcnair park
dubos point wildlife sanctuary,dubos point wildlife sanctuary,1,dubos point wildlife sanctuary
dugan playground,grand playground,0.913888889,gerard p. dugan playground
dunningham triangle,dunningham triangle,1,dunningham triangle
dyker beach park,dyker beach park,1,dyker beach park
east 71st street between avenue v and avenue w,NA,NA,na
east river esplanade,east river esplanade,1,east river esplanade
east river park,east river walk,0.911111111,john v. lindsay east river park
edenwald playground,edenwald playground,1,edenwald playground
ehrenreich-austin playground,ehrenreich-austin playground,1,ehrenreich-austin playground
